сборка 1ae7c58, сервер http://127.0.0.1:4415 (копия dist-r1); инструмент docs/reports/2026-09-26-7thserpent-pachka-2/instrumenty/rastyazhenie.js

/max-payne-3/ 390x844@1: рамка 390×338, кандидат 1200w из 1200/1600/1920, нарисовано 1045, растяжение ×0.87
/max-payne-3/ 800x900@1: рамка 800×809, кандидат 1600w из 1200/1600/1920, нарисовано 2504, растяжение ×1.57
/max-payne-3/ 1024x768@1: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×1.11
/max-payne-3/ 1280x720@1: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×1.04
/max-payne-3/ 1366x768@1: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×1.11
/max-payne-3/ 1440x900@1: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×1.31
/max-payne-3/ 1600x900@1: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×1.31
/max-payne-3/ 1920x1080@1: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×1.48
/max-payne-3/ 2560x1440@1: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×1.48
/max-payne-3/ 3840x2160@1: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×1.48
/max-payne-2/ 390x844@1: рамка 390×338, кандидат 1200w из 1200/1600/1920, нарисовано 1045, растяжение ×0.87
/max-payne-2/ 800x900@1: рамка 800×809, кандидат 1600w из 1200/1600/1920, нарисовано 2504, растяжение ×1.57
/max-payne-2/ 1024x768@1: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×1.11
/max-payne-2/ 1280x720@1: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×1.04
/max-payne-2/ 1366x768@1: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×1.11
/max-payne-2/ 1440x900@1: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×1.31
/max-payne-2/ 1600x900@1: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×1.31
/max-payne-2/ 1920x1080@1: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×1.48
/max-payne-2/ 2560x1440@1: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×1.48
/max-payne-2/ 3840x2160@1: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×1.48
/max-payne-1/ 390x844@1: рамка 390×338, кандидат 1200w из 1200/1600/2400/3200, нарисовано 1045, растяжение ×0.87
/max-payne-1/ 800x900@1: рамка 800×809, кандидат 1600w из 1200/1600/2400/3200, нарисовано 2504, растяжение ×1.57
/max-payne-1/ 1024x768@1: рамка 1024×690, кандидат 2400w из 1200/1600/2400/3200, нарисовано 2138, растяжение ×0.89
/max-payne-1/ 1280x720@1: рамка 870×647, кандидат 2400w из 1200/1600/2400/3200, нарисовано 2006, растяжение ×0.84
/max-payne-1/ 1366x768@1: рамка 929×690, кандидат 2400w из 1200/1600/2400/3200, нарисовано 2140, растяжение ×0.89
/max-payne-1/ 1440x900@1: рамка 979×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2507, растяжение ×0.78
/max-payne-1/ 1600x900@1: рамка 1088×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2506, растяжение ×0.78
/max-payne-1/ 1920x1080@1: рамка 1306×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×0.89
/max-payne-1/ 2560x1440@1: рамка 1741×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×0.89
/max-payne-1/ 3840x2160@1: рамка 2611×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2847, растяжение ×0.89
/remake/ 390x844@1: рамка 390×338, кандидат 1200w из 1200/1280, нарисовано 450, растяжение ×0.38
/remake/ 800x900@1: рамка 800×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×0.84
/remake/ 1024x768@1: рамка 1024×690, кандидат 1280w из 1200/1280, нарисовано 1024, растяжение ×0.8
/remake/ 1280x720@1: рамка 870×647, кандидат 1280w из 1200/1280, нарисовано 870, растяжение ×0.68
/remake/ 1366x768@1: рамка 929×690, кандидат 1280w из 1200/1280, нарисовано 929, растяжение ×0.73
/remake/ 1440x900@1: рамка 979×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×0.84
/remake/ 1600x900@1: рамка 1088×809, кандидат 1280w из 1200/1280, нарисовано 1088, растяжение ×0.85
/remake/ 1920x1080@1: рамка 1306×919, кандидат 1280w из 1200/1280, нарисовано 1306, растяжение ×1.02
/remake/ 2560x1440@1: рамка 1741×919, кандидат 1280w из 1200/1280, нарисовано 1741, растяжение ×1.36
/remake/ 3840x2160@1: рамка 2611×919, кандидат 1280w из 1200/1280, нарисовано 2611, растяжение ×2.04
/max-payne-3/ 390x844@2: рамка 390×338, кандидат 1600w из 1200/1600/1920, нарисовано 1045, растяжение ×1.31
/max-payne-3/ 800x900@2: рамка 800×809, кандидат 1920w из 1200/1600/1920, нарисовано 2509, растяжение ×2.61
/max-payne-3/ 1024x768@2: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×2.23
/max-payne-3/ 1280x720@2: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×2.09
/max-payne-3/ 1366x768@2: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×2.23
/max-payne-3/ 1440x900@2: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×2.61
/max-payne-3/ 1600x900@2: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×2.61
/max-payne-3/ 1920x1080@2: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-3/ 2560x1440@2: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×2.97
/max-payne-3/ 3840x2160@2: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-2/ 390x844@2: рамка 390×338, кандидат 1600w из 1200/1600/1920, нарисовано 1045, растяжение ×1.31
/max-payne-2/ 800x900@2: рамка 800×809, кандидат 1920w из 1200/1600/1920, нарисовано 2509, растяжение ×2.61
/max-payne-2/ 1024x768@2: рамка 1024×690, кандидат 1920w из 1200/1600/1920, нарисовано 2138, растяжение ×2.23
/max-payne-2/ 1280x720@2: рамка 870×647, кандидат 1920w из 1200/1600/1920, нарисовано 2006, растяжение ×2.09
/max-payne-2/ 1366x768@2: рамка 929×690, кандидат 1920w из 1200/1600/1920, нарисовано 2140, растяжение ×2.23
/max-payne-2/ 1440x900@2: рамка 979×809, кандидат 1920w из 1200/1600/1920, нарисовано 2507, растяжение ×2.61
/max-payne-2/ 1600x900@2: рамка 1088×809, кандидат 1920w из 1200/1600/1920, нарисовано 2506, растяжение ×2.61
/max-payne-2/ 1920x1080@2: рамка 1306×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-2/ 2560x1440@2: рамка 1741×919, кандидат 1920w из 1200/1600/1920, нарисовано 2847, растяжение ×2.97
/max-payne-2/ 3840x2160@2: рамка 2611×919, кандидат 1920w из 1200/1600/1920, нарисовано 2845, растяжение ×2.96
/max-payne-1/ 390x844@2: рамка 390×338, кандидат 1600w из 1200/1600/2400/3200, нарисовано 1045, растяжение ×1.31
/max-payne-1/ 800x900@2: рамка 800×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2509, растяжение ×1.57
/max-payne-1/ 1024x768@2: рамка 1024×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2138, растяжение ×1.34
/max-payne-1/ 1280x720@2: рамка 870×647, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2006, растяжение ×1.25
/max-payne-1/ 1366x768@2: рамка 929×690, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2140, растяжение ×1.34
/max-payne-1/ 1440x900@2: рамка 979×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2507, растяжение ×1.57
/max-payne-1/ 1600x900@2: рамка 1088×809, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2506, растяжение ×1.57
/max-payne-1/ 1920x1080@2: рамка 1306×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×1.78
/max-payne-1/ 2560x1440@2: рамка 1741×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2849, растяжение ×1.78
/max-payne-1/ 3840x2160@2: рамка 2611×919, кандидат 3200w из 1200/1600/2400/3200, нарисовано 2847, растяжение ×1.78
/remake/ 390x844@2: рамка 390×338, кандидат 1280w из 1200/1280, нарисовано 450, растяжение ×0.7
/remake/ 800x900@2: рамка 800×809, кандидат 1280w из 1200/1280, нарисовано 1079, растяжение ×1.69
/remake/ 1024x768@2: рамка 1024×690, кандидат 1280w из 1200/1280, нарисовано 1024, растяжение ×1.6
/remake/ 1280x720@2: рамка 870×647, кандидат 1280w из 1200/1280, нарисовано 870, растяжение ×1.36
