сборка 103c0e8 (копия dist-g1, сервер 127.0.0.1:4422), DPR 1, инструмент instrumenty/zanizhenie.js; измерений 180 (4 страницы × 45 окон)
разбор sizes против выбора браузера: несовпадений 0
окна от 641 px, где текст растит героя выше нижней границы: /max-payne-3/ 1060x600 (602.8 при 600), /max-payne-3/ 1100x600 (605.9 при 600)
измерения, где sizes меньше нарисованной ширины (занижение > 1): /max-payne-3/ 1060x600 ×1.003, /max-payne-3/ 1100x600 ×1.002
наибольшее занижение по страницам: /max-payne-3/ ×1.003 на 1060x600; /max-payne-2/ ×1 на 360x740; /max-payne-1/ ×1 на 360x740; /remake/ ×0.841 на 641x900
до 640 px высота рамки арта от текста не зависит (полоса max(40vh, 260px)); герой там выше рамки, но нарисованная ширина — от рамки.

/max-payne-3/ 360x740: герой 874.3 (граница 296), рамка 360×296, нарисовано 917, sizes 917, занижение ×1, кандидат 1200
/max-payne-3/ 390x844: герой 920 (граница 337.6), рамка 390×337.6, нарисовано 1045, sizes 1046, занижение ×1, кандидат 1200
/max-payne-3/ 414x896: герой 944.5 (граница 358.4), рамка 414×358.4, нарисовано 1110, sizes 1110, занижение ×1, кандидат 1200
/max-payne-3/ 480x800: герой 853.9 (граница 320), рамка 480×320, нарисовано 991, sizes 991, занижение ×1, кандидат 1200
/max-payne-3/ 560x800: герой 863.6 (граница 320), рамка 560×320, нарисовано 991, sizes 1120, занижение ×0.885, кандидат 1200
/max-payne-3/ 600x900: герой 908.5 (граница 360), рамка 600×360, нарисовано 1115, sizes 1200, занижение ×0.929, кандидат 1200
/max-payne-3/ 640x900: герой 885.1 (граница 360), рамка 640×360, нарисовано 1115, sizes 1280, занижение ×0.871, кандидат 1600
/max-payne-3/ 641x900: герой 810 (граница 810), рамка 641×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 700x900: герой 810 (граница 810), рамка 700×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 720x900: герой 810 (граница 810), рамка 720×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 768x1024: герой 920 (граница 920), рамка 768×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 1920
/max-payne-3/ 800x900: герой 810 (граница 810), рамка 800×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 820x1180: герой 920 (граница 920), рамка 820×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 1920
/max-payne-3/ 860x900: герой 810 (граница 810), рамка 860×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 900x700: герой 630 (граница 630), рамка 900×629, нарисовано 1948, sizes 1951, занижение ×0.998, кандидат 1920
/max-payne-3/ 960x800: герой 720 (граница 720), рамка 960×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-3/ 1000x900: герой 810 (граница 810), рамка 1000×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1024x768: герой 691.2 (граница 691.2), рамка 1024×690.2, нарисовано 2137, sizes 2140, занижение ×0.999, кандидат 1920
/max-payne-3/ 1025x900: герой 810 (граница 810), рамка 697×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1060x900: герой 810 (граница 810), рамка 720.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1100x800: герой 720 (граница 720), рамка 748×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-3/ 1140x900: герой 810 (граница 810), рамка 775.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1180x900: герой 810 (граница 810), рамка 802.4×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1194x834: герой 750.6 (граница 750.6), рамка 811.9×749.6, нарисовано 2321, sizes 2324, занижение ×0.999, кандидат 1920
/max-payne-3/ 1200x900: герой 810 (граница 810), рамка 816×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1280x800: герой 720 (граница 720), рамка 870.4×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-3/ 1359x900: герой 810 (граница 810), рамка 924.1×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1360x900: герой 810 (граница 810), рамка 924.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1440x900: герой 810 (граница 810), рамка 979.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-3/ 1600x900: герой 810 (граница 810), рамка 1088×809, нарисовано 2505, sizes 2720, занижение ×0.921, кандидат 1920
/max-payne-3/ 1920x1080: герой 920 (граница 920), рамка 1305.6×919, нарисовано 2846, sizes 3264, занижение ×0.872, кандидат 1920
/max-payne-3/ 320x640: герой 895.6 (граница 260), рамка 320×260, нарисовано 805, sizes 805, занижение ×1, кандидат 1200
/max-payne-3/ 640x360: герой 785.1 (граница 260), рамка 640×260, нарисовано 805, sizes 1280, занижение ×0.629, кандидат 1600
/max-payne-3/ 800x600: герой 600 (граница 600), рамка 800×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-3/ 1024x600: герой 600 (граница 600), рамка 1024×599, нарисовано 1855, sizes 2048, занижение ×0.906, кандидат 1920
/max-payne-3/ 1280x720: герой 648 (граница 648), рамка 870.4×647, нарисовано 2004, sizes 2176, занижение ×0.921, кандидат 1920
/max-payne-3/ 1366x768: герой 691.2 (граница 691.2), рамка 928.9×690.2, нарисовано 2137, sizes 2322, занижение ×0.92, кандидат 1920
/max-payne-3/ 2560x1440: герой 920 (граница 920), рамка 1740.8×919, нарисовано 2846, sizes 4352, занижение ×0.654, кандидат 1920
/max-payne-3/ 3840x2160: герой 920 (граница 920), рамка 2611.2×919, нарисовано 2846, sizes 6528, занижение ×0.436, кандидат 1920
/max-payne-3/ 641x600: герой 600 (граница 600), рамка 641×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-3/ 680x600: герой 600 (граница 600), рамка 680×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-3/ 720x600: герой 600 (граница 600), рамка 720×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-3/ 1025x600: герой 600 (граница 600), рамка 697×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-3/ 1060x600: герой 602.8 (граница 600), рамка 720.8×601.8, нарисовано 1864, sizes 1858, занижение ×1.003, кандидат 1920
/max-payne-3/ 1100x600: герой 605.9 (граница 600), рамка 748×604.9, нарисовано 1873, sizes 1870, занижение ×1.002, кандидат 1920
/max-payne-2/ 360x740: герой 778.6 (граница 296), рамка 360×296, нарисовано 917, sizes 917, занижение ×1, кандидат 1200
/max-payne-2/ 390x844: герой 822.3 (граница 337.6), рамка 390×337.6, нарисовано 1045, sizes 1046, занижение ×1, кандидат 1200
/max-payne-2/ 414x896: герой 845 (граница 358.4), рамка 414×358.4, нарисовано 1110, sizes 1110, занижение ×1, кандидат 1200
/max-payne-2/ 480x800: герой 784.3 (граница 320), рамка 480×320, нарисовано 991, sizes 991, занижение ×1, кандидат 1200
/max-payne-2/ 560x800: герой 762.1 (граница 320), рамка 560×320, нарисовано 991, sizes 1120, занижение ×0.885, кандидат 1200
/max-payne-2/ 600x900: герой 804.8 (граница 360), рамка 600×360, нарисовано 1115, sizes 1200, занижение ×0.929, кандидат 1200
/max-payne-2/ 640x900: герой 807.4 (граница 360), рамка 640×360, нарисовано 1115, sizes 1280, занижение ×0.871, кандидат 1600
/max-payne-2/ 641x900: герой 810 (граница 810), рамка 641×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
